timestamp,pid,rss,heapTotal,heapUsed,external,cpuPercentage
2024-09-10T00:29:19.983Z,367376,44150784,5152768,4397984,1745114,0.04
2024-09-10T00:29:20.984Z,367376,44150784,5152768,4401024,1745114,0.03
2024-09-10T00:29:21.986Z,367376,44150784,5152768,4403920,1745114,0.04
2024-09-10T00:29:22.987Z,367376,44150784,5152768,4406960,1745114,0.05
2024-09-10T00:29:23.988Z,367376,44150784,5152768,4409856,1745114,0.04
2024-09-10T00:29:24.990Z,367376,44150784,5152768,4412896,1745114,0.04
2024-09-10T00:29:25.991Z,367376,44150784,5152768,4415792,1745114,0.04
2024-09-10T00:29:26.993Z,367376,44421120,5152768,4418832,1745114,0.05
2024-09-10T00:29:27.994Z,367376,44421120,5152768,4421752,1745114,0.03
2024-09-10T00:29:28.995Z,367376,44421120,5152768,4424792,1745114,0.03
2024-09-10T00:29:29.996Z,367376,44421120,5152768,4427688,1745114,0.03
2024-09-10T00:29:30.997Z,367376,44421120,5152768,4430728,1745114,0.03
2024-09-10T00:29:31.999Z,367376,44421120,5152768,4433624,1745114,0.04
2024-09-10T00:29:33.000Z,367376,44421120,5152768,4436888,1753306,0.04
2024-09-10T00:29:34.001Z,367376,44421120,5152768,4439808,1753306,0.04
2024-09-10T00:29:35.003Z,367376,44421120,5152768,4442848,1753306,0.05
2024-09-10T00:29:36.004Z,367376,44421120,5152768,4445744,1753306,0.04
2024-09-10T00:29:37.005Z,367376,44421120,5152768,4448784,1753306,0.03
2024-09-10T00:29:38.006Z,367376,44421120,5152768,4451680,1753306,0.04
2024-09-10T00:29:39.007Z,367376,44421120,5152768,4454720,1753306,0.04
2024-09-10T00:29:40.009Z,367376,44421120,5152768,4457616,1753306,0.03
2024-09-10T00:29:41.010Z,367376,44421120,5152768,4460656,1753306,0.04
2024-09-10T00:29:42.012Z,367376,44421120,5152768,4463552,1753306,0.03
2024-09-10T00:29:43.013Z,367376,44421120,5152768,4466592,1753306,0.04
2024-09-10T00:29:44.015Z,367376,44421120,5152768,4469488,1753306,0.06
2024-09-10T00:29:45.016Z,367376,44421120,5152768,4472528,1753306,0.05
2024-09-10T00:29:46.017Z,367376,44421120,5152768,4475424,1753306,0.03
2024-09-10T00:29:47.019Z,367376,44421120,5152768,4478464,1753306,0.04
2024-09-10T00:29:48.020Z,367376,44421120,5152768,4481360,1753306,0.05
2024-09-10T00:29:49.022Z,367376,44421120,5152768,4484400,1753306,0.05
2024-09-10T00:29:50.023Z,367376,44421120,5152768,4487296,1753306,0.05
2024-09-10T00:29:51.025Z,367376,44421120,5152768,4490336,1753306,0.05
2024-09-10T00:29:52.026Z,367376,44421120,5152768,4493232,1753306,0.04
2024-09-10T00:29:53.027Z,367376,44421120,5152768,4496272,1753306,0.04
2024-09-10T00:29:54.029Z,367376,44421120,5152768,4499168,1753306,0.04
2024-09-10T00:29:55.030Z,367376,44421120,5152768,4502208,1753306,0.03
2024-09-10T00:29:56.032Z,367376,44421120,5152768,4505104,1753306,0.04
2024-09-10T00:29:57.034Z,367376,44421120,5152768,4508144,1753306,0.05
2024-09-10T00:29:58.035Z,367376,44421120,5152768,4511040,1753306,0.04
2024-09-10T00:29:59.037Z,367376,44421120,5152768,4514080,1753306,0.03
2024-09-10T00:30:00.038Z,367376,44421120,5152768,4516976,1753306,0.03
2024-09-10T00:30:01.039Z,367376,44421120,5152768,4520016,1753306,0.04
2024-09-10T00:30:02.041Z,367376,44421120,5152768,4522912,1753306,0.04
2024-09-10T00:30:03.042Z,367376,44421120,5152768,4525952,1753306,0.05
2024-09-10T00:30:04.044Z,367376,44421120,5152768,4528848,1753306,0.06
2024-09-10T00:30:05.045Z,367376,44421120,5152768,4531888,1753306,0.04
2024-09-10T00:30:06.047Z,367376,44421120,5152768,4534784,1753306,0.03
2024-09-10T00:30:07.048Z,367376,44421120,5152768,4537824,1753306,0.04
2024-09-10T00:30:08.049Z,367376,44421120,5152768,4540720,1753306,0.03
2024-09-10T00:30:09.051Z,367376,44421120,5152768,4543760,1753306,0.03
2024-09-10T00:30:10.052Z,367376,44421120,5152768,4546656,1753306,0.03
2024-09-10T00:30:11.054Z,367376,44421120,5152768,4549696,1753306,0.03
2024-09-10T00:30:12.055Z,367376,44421120,5152768,4552592,1753306,0.03
2024-09-10T00:30:13.056Z,367376,44421120,5152768,4555632,1753306,0.03
2024-09-10T00:30:14.057Z,367376,44421120,5152768,4558528,1753306,0.04
2024-09-10T00:30:15.058Z,367376,44421120,5152768,4561568,1753306,0.04
2024-09-10T00:30:16.060Z,367376,44421120,5152768,4564464,1753306,0.05
2024-09-10T00:30:17.061Z,367376,44421120,5152768,4567504,1753306,0.04
2024-09-10T00:30:18.062Z,367376,44421120,5152768,4570400,1753306,0.03
2024-09-10T00:30:19.064Z,367376,44421120,5152768,4573440,1753306,0.03
2024-09-10T00:30:20.064Z,367376,44421120,5152768,4577392,1753306,0.07
2024-09-10T00:30:21.065Z,367376,44421120,5152768,4580432,1753306,0.03
2024-09-10T00:30:22.066Z,367376,44421120,5152768,4583328,1753306,0.03
2024-09-10T00:30:23.067Z,367376,44421120,5152768,4586368,1753306,0.04
2024-09-10T00:30:24.069Z,367376,44421120,5152768,4589264,1753306,0.04
2024-09-10T00:30:25.070Z,367376,44421120,5152768,4592304,1753306,0.04
2024-09-10T00:30:26.072Z,367376,44421120,5152768,4595200,1753306,0.05
2024-09-10T00:30:27.073Z,367376,44421120,5152768,4598240,1753306,0.03
2024-09-10T00:30:28.074Z,367376,44421120,5152768,4601136,1753306,0.04
2024-09-10T00:30:29.076Z,367376,44421120,5152768,4604176,1753306,0.05
2024-09-10T00:30:30.077Z,367376,44421120,5152768,4607072,1753306,0.04
2024-09-10T00:30:31.079Z,367376,44421120,5152768,4610112,1753306,0.05
